zona_leste,zona_norte,zona_oeste,zona_sul,quartos,area,preco
0,1,0,0,1.3862943611198906,5.484796933490655,8.294299608857235
1,0,0,0,1.3862943611198906,4.875197323201151,7.901377353792616
0,1,0,0,1.0986122886681096,5.017279836814924,8.160803920954665
0,1,0,0,1.0986122886681096,4.51085950651685,7.170888478512505
1,0,0,0,1.0986122886681096,4.330733340286331,7.438971592395862
0,0,0,1,1.791759469228055,5.638354669333745,8.922791623969637
0,0,0,1,1.3862943611198906,5.14166355650266,8.517393171418904
0,1,0,0,1.0986122886681096,4.51085950651685,7.313886831633462
0,0,1,0,1.3862943611198906,5.707110264748875,9.392745258631441
0,1,0,0,1.3862943611198906,4.912654885736052,8.071218539969863
0,0,0,1,1.3862943611198906,4.912654885736052,8.412054873292933
0,0,1,0,1.3862943611198906,5.707110264748875,9.510519035757246
0,0,1,0,1.791759469228055,6.111467339502679,8.699681400989514
0,1,0,0,1.0986122886681096,4.709530201312334,6.311734809152915
0,1,0,0,1.0986122886681096,4.51085950651685,6.85751406254539
1,0,0,0,1.0986122886681096,4.2626798770413155,7.00397413672268
1,0,0,0,1.0986122886681096,4.110873864173311,7.00397413672268
1,0,0,0,1.0986122886681096,4.51085950651685,7.313886831633462
0,1,0,0,1.0986122886681096,3.9318256327243257,7.0909098220799835
0,0,0,1,1.0986122886681096,5.707110264748875,8.922791623969637
0,0,1,0,1.0986122886681096,4.795790545596741,7.438971592395862
0,1,0,0,0.6931471805599453,3.4339872044851463,6.55250788703459
0,1,0,0,1.9459101490553132,6.621405651764134,9.259225769705994
1,0,0,0,1.3862943611198906,5.420534999272286,8.853808274977197
1,0,0,0,0.6931471805599453,3.58351893845611,7.0909098220799835
0,0,1,0,0.6931471805599453,3.7612001156935624,6.85751406254539
0,0,0,1,1.0986122886681096,4.394449154672439,8.853808274977197
0,0,1,0,1.6094379124341003,5.25227342804663,8.895766604056085
0,1,0,0,0.6931471805599453,3.828641396489095,6.7580945044277305
0,0,1,0,1.9459101490553132,6.704414354964107,10.12667110305036
1,0,0,0,0.6931471805599453,3.58351893845611,6.55250788703459
0,1,0,0,1.791759469228055,6.343880434126331,8.699681400989514
0,1,0,0,1.9459101490553132,5.707110264748875,8.612685172875459
0,0,1,0,1.6094379124341003,6.464588303689961,9.105090961257085
1,0,0,0,1.3862943611198906,3.9318256327243257,7.170888478512505
0,0,1,0,0.6931471805599453,3.4339872044851463,6.594413459749778
1,0,0,0,0.6931471805599453,3.4339872044851463,6.111467339502679
0,0,0,1,1.3862943611198906,5.25227342804663,8.412054873292933
1,0,0,0,0.6931471805599453,3.58351893845611,6.621405651764134
0,0,1,0,1.0986122886681096,5.272999558563747,8.853808274977197
1,0,0,0,1.3862943611198906,5.10594547390058,8.412054873292933
0,0,0,1,1.0986122886681096,6.478509642208569,10.545341438708522
0,0,1,0,1.6094379124341003,6.198478716492308,10.085850775128717
0,0,1,0,0.6931471805599453,5.3981627015177525,6.398594934535208
0,1,0,0,1.0986122886681096,4.2626798770413155,6.68586094706836
1,0,0,0,0.6931471805599453,3.828641396489095,7.0909098220799835
0,1,0,0,1.3862943611198906,5.081404364984463,8.071218539969863
0,1,0,0,0.6931471805599453,3.828641396489095,6.478509642208569
0,0,1,0,1.3862943611198906,5.198497031265826,9.15915233520675
1,0,0,0,0.6931471805599453,2.3978952727983707,6.660575149839686
0,1,0,0,0.6931471805599453,3.9318256327243257,6.311734809152915
1,0,0,0,1.6094379124341003,4.795790545596741,7.824445930877619
0,0,0,1,1.0986122886681096,4.2626798770413155,7.601402334583733
1,0,0,0,1.0986122886681096,3.8918202981106265,6.7464121285733745
1,0,0,0,1.3862943611198906,4.962844630259907,7.741099090035366
0,1,0,0,1.0986122886681096,4.110873864173311,7.601402334583733
1,0,0,0,1.6094379124341003,5.700443573390686,8.699681400989514
1,0,0,0,1.3862943611198906,5.3981627015177525,8.071218539969863
1,0,0,0,1.0986122886681096,4.709530201312334,6.803505257608338
1,0,0,0,1.0986122886681096,4.653960350157523,7.244941546337007
0,0,1,0,1.0986122886681096,3.044522437723423,6.2166061010848646
0,0,0,1,1.0986122886681096,4.709530201312334,7.696667081526462
1,0,0,0,0.6931471805599453,3.713572066704308,6.478509642208569
0,1,0,0,0.6931471805599453,3.58351893845611,6.55250788703459
0,0,1,0,1.0986122886681096,5.25227342804663,9.392745258631441
0,1,0,0,1.0986122886681096,4.2626798770413155,7.0909098220799835
0,0,0,1,1.0986122886681096,4.51085950651685,7.3783837129967145
0,0,0,1,1.0986122886681096,5.707110264748875,9.296609807128359
0,1,0,0,1.0986122886681096,3.9318256327243257,7.244941546337007
1,0,0,0,1.0986122886681096,5.545177444479562,8.922791623969637
1,0,0,0,0.6931471805599453,2.3978952727983707,6.7464121285733745
0,1,0,0,1.6094379124341003,5.5254529391317835,8.517393171418904
0,1,0,0,0.6931471805599453,3.713572066704308,6.803505257608338
0,0,1,0,1.6094379124341003,5.017279836814924,8.412054873292933
0,1,0,0,1.6094379124341003,5.638354669333745,8.412054873292933
0,1,0,0,0.6931471805599453,3.4339872044851463,6.803505257608338
0,0,0,1,1.3862943611198906,5.303304908059076,8.556606193773073
1,0,0,0,1.3862943611198906,6.12029741895095,8.922791623969637
1,0,0,0,1.6094379124341003,5.5254529391317835,8.699681400989514
0,1,0,0,1.0986122886681096,4.709530201312334,6.311734809152915
0,1,0,0,0.6931471805599453,3.9318256327243257,6.478509642208569
0,1,0,0,1.3862943611198906,4.875197323201151,7.496097345175956
1,0,0,0,0.6931471805599453,3.8066624897703196,7.00397413672268
0,0,0,1,1.0986122886681096,4.394449154672439,7.824445930877619
0,0,0,1,1.3862943611198906,4.727387818712341,7.824445930877619
1,0,0,0,1.0986122886681096,4.394449154672439,6.78105762593618
0,0,0,1,2.3978952727983707,6.621405651764134,10.239995502805316
0,0,1,0,1.3862943611198906,5.10594547390058,7.937731775260109
1,0,0,0,0.6931471805599453,3.713572066704308,6.803505257608338
0,1,0,0,1.3862943611198906,5.303304908059076,8.294299608857235
0,0,1,0,1.0986122886681096,5.860786223465865,9.210440366976517
1,0,0,0,1.0986122886681096,4.61512051684126,7.741099090035366
0,0,0,1,1.0986122886681096,5.303304908059076,8.853808274977197
0,0,0,1,1.0986122886681096,4.941642422609304,8.853808274977197
0,0,1,0,1.6094379124341003,6.133398042996649,9.798182590890704
0,0,0,1,1.0986122886681096,5.564520407322694,8.412054873292933
0,1,0,0,1.0986122886681096,3.8918202981106265,6.825460036255307
1,0,0,0,1.6094379124341003,5.017279836814924,7.3783837129967145
0,1,0,0,1.3862943611198906,5.198497031265826,7.972810784121404
1,0,0,0,1.0986122886681096,4.584967478670572,6.7464121285733745
0,1,0,0,1.6094379124341003,5.958424693029782,8.612685172875459
0,1,0,0,1.0986122886681096,4.875197323201151,7.550135342488429
0,1,0,0,0.6931471805599453,3.58351893845611,6.55250788703459
0,0,0,1,1.3862943611198906,5.62040086571715,8.922791623969637
1,0,0,0,1.6094379124341003,5.198497031265826,8.45553053102413
0,0,1,0,1.3862943611198906,5.198497031265826,8.824824939175638
0,0,1,0,1.6094379124341003,5.14166355650266,8.612685172875459
0,0,0,1,1.3862943611198906,5.153291594497779,8.476579508530941
0,0,1,0,1.3862943611198906,5.707110264748875,8.216358332386156
0,0,0,1,0.6931471805599453,3.58351893845611,6.398594934535208
0,0,1,0,1.0986122886681096,4.51085950651685,7.170888478512505
1,0,0,0,1.0986122886681096,4.394449154672439,7.170888478512505
1,0,0,0,1.0986122886681096,2.3978952727983707,6.85751406254539
